"component_type","component_name","component_link","Manufacturer","Part_#_#"
"","Cooler Master MasterAccessory Vertical Graphics Card Holder Kit V3...","https://pcpartpicker.com/product/GmGhP6/placeholder","Cooler Master","MCA-U000R-WFVK03"
"","upHere GPU Support Bracket, Gpu Anti Sag Bracket, Graphics Card GPU Support, Video Card Sag Holder Bracket, GPU Stand, S(26mm-50mm)","https://pcpartpicker.com/product/ZBMMnQ/placeholder","upHere","B0CZ8F4DT4"
"","upHere 5V Addressable RGB Graphics Card GPU Brace Support Video Card Sag Holder,Built-in 5V ARGB Lamp,Adjustable Height Support,GH03ARGB","https://pcpartpicker.com/product/QFH7YJ/placeholder","upHere","GH03ARGB-US"
"","Elite Series 2 Controller - Black","https://pcpartpicker.com/product/s4tQzy/elite-series-2-controller-black","Placeholder","B07SFKTLZM"
"","XFX Quicksilver AMD Radeon RX 9070 OC Gaming Edition with 16GB GDDR6 HDMI 3xDP, AMD RDNA 4 RX-97QICKBBA","https://pcpartpicker.com/product/fBLp99/placeholder","XFX","RX-97QICKBBA"
"","Thermaltake Water Cooling System 1000mm V-Tubler PETG Hard Tubing, 4-Pack","https://pcpartpicker.com/product/KDwqqs/thermaltake-water-cooling-system-1000mm-v-tubler-petg-hard-tubing-4-pack","Thermaltake USA Direct","CL-W116-PL16TR-A"
"","LSI LOGIC SAS 9207-8i Storage Controller LSI00301","https://pcpartpicker.com/product/MC8H99/lsi-logic-sas-9207-8i-storage-controller-lsi00301","LSI LOGIC","LSI00301"
"","MSI Vigor Backlit RGB Dedicated Hotkeys Anti-Ghosting Mechanical Feel Gaming Keyboard & Gaming Mouse Combo (Vigor GK30 Combo US)","https://pcpartpicker.com/product/wBvqqs/placeholder-","MSI COMPUTER","VIGOR GK30 COMBO"
"","wisecoco 14 Inch LCD Screen for Lian Li O11 Mini PC Case FHD 1920x1080 Laptop Screen Replacement PC Secondary Display HDMI 72% NTSC(White)","https://pcpartpicker.com/product/qpqrxr/placeholder","wisecoco","B0D66FR2DT"
"","Support","https://pcpartpicker.com/product/6MRYcf/placeholder","Cooler Master",""
"","Trust Gaming GXT 834 Callaz Tastiera Meccanica TKL Compatta, Layout Italiano QWERTY, Switch Meccanici Outemu, Illuminazione Onda Arcobaleno, USB Tastiera Gaming per PC, Laptop, Portatile - Ne","https://pcpartpicker.com/product/zWcgXL/placeholder","Trust","24406"
"","G.SKILL Trident Z5 Neo RGB Series (AMD Expo) DDR5 RAM 32GB (2x16GB) 6000MT/s CL28-36-36-96 1.40V Desktop Computer Memory UDIMM - Matte White (F5-6000J2836G16GX2-TZ5NRW)","https://pcpartpicker.com/product/hNkH99/placeholder","G.Skill","B0DGRFBN96"
"","Thermalright ARGB Fan HUB Controller Support 8 Groups of Fans, 8-Port 4 Pin PC Fan Controller, 5V-3Pin ARGB Fan Hub, Strong Paste+Magnetic Suction, SATA Power Cord(12V 4-pin RGB is not Suppor","https://pcpartpicker.com/product/cKrRsY/placeholder","Thermalright","ARGB FAN HUB×8-d2"
"","AsiaHorse Netzteil ummanteltes Kabel, 16 AWG PSU-Verlängerungskabel-Kit für weißen Stecker, 1x24Pin/2x4+4 EPS/3x6+2 PCI-E, 30cm Länge mit Kämmen-Weiß","https://pcpartpicker.com/product/n6Gbt6/placeholder","AsiaHorse","B0B4V8T8BD"
"","Thermal Grizzly KryoSheet (33 x 33 x 0,2 mm)","https://pcpartpicker.com/product/kH3NnQ/placeholder","Thermal Grizzly","TG-KS-24-12"
"","LG - UltraGear 32"" IPS LED 180Hz 1-ms NVIDIA G-SYNC Compatible and AMD Freesync Gaming Monitor with HDR - Black","https://pcpartpicker.com/product/Vhn9TW/placeholder","LG","32GS75Q-B.AUS"
"","D & K Exclusives Headphone Splitter For Computer 3.5mm Female to 2 Dual 3.5mm Male Headphone Mic Audio Y Splitter Cable Smartphone Headset to PC Adapter","https://pcpartpicker.com/product/NdPzK8/d-k-exclusives-headphone-splitter-for-computer-35mm-female-to-2-dual-35mm-male-headphone-mic-audio-y-splitter-cable-smartphone-headset-to-pc-adapter","D & K Exclusives","B01MQZ2023"
"","CORSAIR iCUE LINK LX140 RGB 140mm PWM Fan Single Pack – Dual Light Loops – Requires iCUE LINK System Hub (Sold Separately) – CORSAIR AirGuide Technology – Black","https://pcpartpicker.com/product/BswmP6/placeholder","Corsair","CO-9051027-WW"
"","YABOANG USB 3.2 GEN1 5Gbps Type-E(A key)+USB3.0 20pin front panel scheda di espansione, compatibile con XP/ WIN7/ WIN8 /VISTA/ WIN10/ WIN11 32BIT/64BIT/ LINUX.","https://pcpartpicker.com/product/mHmNnQ/placeholder","YABOANG","B0CWLJ2QS2"
"","Logitech G29 Driving Force Racing Wheel","https://pcpartpicker.com/product/WTrcCJ/logitech-g29-driving-force-racing-wheel","Logitech","941-000110"
"","Graphics Card GPU Brace Support, Video Card Sag Holder Bracket, GPU Stand","https://pcpartpicker.com/product/zrWzK8/placeholder","nkomax","SSZJ-L"
"","NZXT Vertical GPU Mounting Kit - AB-RH175-W1-175 mm PCIe 4.0x16 Riser Cable - GPU Holder - Sturdy Steel Bracket - White","https://pcpartpicker.com/product/YfzhP6/placeholder","NZXT","AB-RH175-W1"
"","CORSAIR iCUE Commander CORE XT, Digital Fan Speed and RGB Lighting Controller","https://pcpartpicker.com/product/rX3gXL/placeholder","Corsair","CL-9011112-WW"
"","Cable Matters (3 Pack) 4 Pin Molex to Dual SATA Power Y-Cable Adapter- 6 Inches","https://pcpartpicker.com/product/sgcMnQ/cable-matters-3-pack-4-pin-molex-to-dual-sata-power-y-cable-adapter-6-inches","Cable Matters","104010-6x3"
"","EZDIY-FAB PSU Cable Extension Sleeved Custom Mod GPU PC Power Supply Soft Nylon Braided with Comb Kit 24PIN/8PIN to 6+2Pin/ 8PIN to 4+4PIN-30CM 300MM - Black Grey","https://pcpartpicker.com/product/vLmFf7/placeholder-","EZDIY-FAB","US-BGrey 18AWG-300"
