component_name,component_link,Capacity,Form_Factor,Full_Disk_Write_Throughput,Full_Disk_Write_Throughput_Lowest_10_Seconds,Interface,Manufacturer,NVME,Part__,Price_GB,Random_Read_Throughput_QD1,Random_Read_Throughput_QD32,Random_Write_Throughput_QD1,Random_Write_Throughput_QD32,SSD_NAND_Flash_Type,Sequential_Read_Throughput_QD1,Sequential_Read_Throughput_QD4,Sequential_Write_Throughput_QD1,Sequential_Write_Throughput_QD4,Type
Patriot Viper Vp4300 Lite 2 Tb M.2-2280 Pcie 4.0 X4 Nvme Ssd,https://pcpartpicker.com/product/BqP8TW/patriot-viper-vp4300-lite-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-vp4300l2tbm28h,2000,M.2 2280,,,PCIe 4.0 x4,Patriot,TRUE,VP4300L2TBM28H,0.055,,,,,,,,,,SSD
"Kingston A400 120 Gb 2.5"" Ssd",https://pcpartpicker.com/product/2FDzK8/kingston-a400-120gb-25-solid-state-drive-sa400s37120g,120,"2.5""",,,SATA 6.0 Gb/s,Kingston,FALSE,SA400S37/120G,,,,,,,,,,,SSD
Kingspec Xf 2 Tb M.2-2280 Pcie 4.0 X4 Nvme Ssd,https://pcpartpicker.com/product/BvP8TW/kingspec-xf-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-xf-2tb-2280,2000,M.2 2280,,,PCIe 4.0 x4,Kingspec,TRUE,XF-2TB-2280,0.048,,,,,,,,,,SSD
Inland Tn450 500 Gb M.2-2280 Pcie 4.0 X4 Nvme Ssd,https://pcpartpicker.com/product/jnjRsY/inland-tn450-500-gb-m2-2280-pcie-40-x4-nvme-solid-state-drive-500gb-tn450,500,M.2 2280,,,PCIe 4.0 x4,Inland,TRUE,500GB TN450,0.094,,,,,3D TLC,,,,,SSD
Corsair Mp700 Pro 2 Tb M.2-2280 Pcie 5.0 X4 Nvme Ssd,https://pcpartpicker.com/product/3vvD4D/corsair-mp700-pro-2-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-cssd-f2000gbmp700pnh,2000,M.2 2280,,,PCIe 5.0 x4,Corsair,TRUE,CSSD-F2000GBMP700PNH,0.11,,,,,3D TLC,,,,,SSD
"Teamgroup Gx1 960 Gb 2.5"" Ssd",https://pcpartpicker.com/product/2FF48d/team-gx1-960-gb-25-solid-state-drive-t253x1960g0c101,960,"2.5""",,,SATA 6.0 Gb/s,Teamgroup,FALSE,T253X1960G0C101,,,,,,,,,,,SSD
"Crucial Bx500 480 Gb 2.5"" Ssd",https://pcpartpicker.com/product/8R66Mp/crucial-bx500-480gb-25-solid-state-drive-ct480bx500ssd1,480,"2.5""",,,SATA 6.0 Gb/s,Crucial,FALSE,CT480BX500SSD1,0.073,,,,,,,,,,SSD
Corsair Mp600 Pro Lpx 2 Tb M.2-2280 Pcie 4.0 X4 Nvme Ssd,https://pcpartpicker.com/product/cXHqqs/corsair-mp600-pro-lpx-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-cssd-f2000gbmp600plpw,2000,M.2 2280,,,PCIe 4.0 x4,Corsair,TRUE,CSSD-F2000GBMP600PLPW,0.085,,,,,3D TLC,,,,,SSD
Patriot P400 Lite 1 Tb M.2-2280 Pcie 4.0 X4 Nvme Ssd,https://pcpartpicker.com/product/Xy3NnQ/patriot-p400-lite-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-p400lp1kgm28h,1000,M.2 2280,,,PCIe 4.0 x4,Patriot,TRUE,P400LP1KGM28H,0.056,,,,,,,,,,SSD
Silicon Power A55 512 Gb M.2-2280 Sata Ssd,https://pcpartpicker.com/product/hm7G3C/silicon-power-a55-512-gb-m2-2280-solid-state-drive-su512gbss3a55m28ac,512,M.2 2280,,,M.2 SATA,Silicon Power,FALSE,SU512GBSS3A55M28AC,0.06,,,,,,,,,,SSD
